Company,Vision
Visteon Corporation,"We aspire to be the best in the world at partnering with our customer to provide innovative, high-quality products that deliver exceptional value."
Mylan Inc.,"We aspire to relentlessly improve product innovation, customer service and global operational excellence to ensure Mylan’s position as one of the world’s leading providers of generic and specialty pharmaceuticals. We will continue to address patients’ unmet needs and provide them with access to our products virtually anywhere in the world. Because of this unwavering commitment, we believe we can unlock additional value for patients, customers, shareholders and our employees, without compromising the integrity of our enterprise, and become the most efficient global generics and specialty pharmaceutical company in the industry."
"PepsiCo, Inc.","We believe being a responsible corporate citizen is not only the right thing to do, but the right thing to do for our business."
Vectren Corporation,"We believe diversity and inclusion is a business imperative and an ethical and social responsibility
grounded in our core values of colleagues, customers,community and capital,"
Republic Airways Holdings Inc.,"We believe that every associate, regardless of personal beliefs or world-view, has been created in the image and likeness of God. We seek to become stronger from our diversity. We seek personal respect and fulfillment from our work. Most of all, we seek to recognize the dignity and potential of each member of our Republic Airways Holdings family."
Targa Resources Corp.,"We believe the significant scale of our business, broad range of services, operational focus and competitive cost structure position us well to serve customers and to benefit from the importance of existing infrastructure in the growing U.S. energy market."
"PulteGroup, Inc.",We build consumer inspired homes and communities to make lives better.
International Flavors & Fragrances Inc.,We create unique scent and taste experiences people love.
CIT Group Inc.,"We deliver on our promises and build trust in our relationships. We stand by what we say and we do what is right – every time. We are honest, trustworthy and truly accountable for our actions. We give and earn respect by genuinely considering what our colleagues, customers and shareholders are saying. We develop respect with our words, deeds and actions. Approach each challenge as an opportunity to adapt new methods, skills and strategies for moving our business forward."
"Armstrong World Industries, Inc.",We deliver on our promises.
Perrigo Company,We demonstrate the value we hold for one another.We do what is right.We hold ourselves accountable for our actions.
3M Company,"We earn customer loyalty and respect when we effectively differentiate from our competition and leverage the 3M brand identity standards as a vehicle for impact and success. As a diversified technology company, we rely on the delivery of our brand promise"
Safeway Inc.,We earn the loyalty of the people we serve through the talents and passion of employees.
"Carter's, Inc.","We embrace creative leadership, innovative teamwork and a winning spirit to be the best for the benefit of our customers, our consumers, our employees and our shareholders."
"Broadridge Financial Solutions, Inc.","We enable the financial services industry to achieve superior levels of performance through our passion to deliver extraordinary value to our clients, shareholders and associates. Be Indispensable!
"
Brown-Forman Corporation,"We enrich the experience of life, in our own way, by responsibly building beverage alcohol brands that thrive and endure for generations. "
Knights of Columbus,"We envision our organization to be an effective center and the moving spirit of brotherly affection and caring assistance to our members and their families, the church, the community and its youth, our fellowmen and country."
First Data Corporation,"We focus on being the consummate business partner for our customersconnecting them to the people, technology and relationships so they can grow their businesses anywhere in the world."
Freddie Mac,"We focus our investments on programs that demonstrate tangible results for children and families who are vulnerable to poor outcomes. In the communities where we invest, our vision is for children to: live in thriving, stable homes with strong, nurturing nd resilient families,achieve academically in school, and, become self-sufficient, successful adults."
Danaher Corporation,"We fully intend to grow Danaher at an accelerated rate. Acquisitions that strengthen existing businesses and establish new platforms will be the priority. However, size alone is not our objective. We are aggressively pursuing our goal to build an outstanding team, a high quality portfolio and a sustainable DBS -based business model achieving superior and sustainable financial results. That's our vision of the future the vision we're aggressively pursuing as we work to make Danaher a premier global enterprise."
Alere Inc.,"We give people the tools to confidently manage their own health, no matter where they are, and reinforce the connection to their doctor. If they are sick, they are improving; if they are healthy, they stay well. We are healthcare reform in practice."
Huntsman Corporation,"We have an aggressive growth philosophy which reflects the spirit of free enterprise and maximization of long term profits, the best motives for creating mutual benefits for customers, employees, suppliers and the communities in which we are located."
"Ross Stores, Inc.","We includes Ross Dress for Less and dd's DISCOUNTS, treating our associates, our communities and our environment with respect is a priority every day. We are also committed to ethical business practices as a cornerstone of our Company."
"Coventry Health Care, Inc.","We intend to revolutionize the health care industry in our markets through innovation, technology, quality performance, and commitment to our customers and constituents. Our aim is to offer products and services that will responsibly improve the quality of life of all we serve. We will conduct our business affairs in an ethical and financially prudent manner through
employee development, involvement and empowerment, while demonstrating compassion to our members and setting a standard for all others to achieve."
PVH Corp.,We leverage our established operating platforms and our people to drive our global brand growth.
"Merck & Co., Inc.","We make a difference in the lives of people globally through our innovative medicines, vaccines, and consumer health and animal products.  We aspire to be the best healthcare company in the world and are dedicated to providing leading innovations and solutions for tomorrow."
Ingredion Incorporated,We make it our business to understand industry trends and our customers’ challenges. They trust us to anticipate and deliver the consistently high-quality products and innovative solutions they need.
Capital One Financial Corporation,"We make lives better, we've made the following commitments:
To truly meet consumer needs-> We want to make things simple and easy for our customers, giving them products that really work for them. It's why we offer credit cards to suit all needs, from those who want to make bad credit a thing of the past to those who want to earn cashback on their purchases.
Give people what they would expect from us-> We know the banking industry hasn't been as transparent as it should have been in the past, but we want our customers to know exactly what's what with us. We need them to know they can trust and rely on us. We won't charge our customers a fee if they don't use their card for a while, or take away a zero per cent offer on balance transfers or purchases if they miss a payment.
Create lasting relationships with our customers-> Open and honest dialogue is always a good basis for a long-term relationship. We want our customers to know that we deal in straight-talking common sense, not confusing jargon. We make sure we're crystal clear in all our communications, and our mobile app and online account servicing make it easy for customers to manage their finances wherever they are.
Having a Culture of Innovation-> Innovation matters to us and it is something we want to make part of everything we do. These skills are not simply to be brought out for 'best' but part of how people do their work. 250 of our employees have been through specialist innovation training to help them do things differently. Our Innovation Team directly supports projects from insight gathering right through to delivery. We've even used our trained employees to work with one of our community partners to help them find a solution to a real business problem. Just another way we're helping make lives better."
"Itron, Inc.","We manage energy and water will define this century. By applying knowledge and technology, together we can create a more resourceful world."
Kohl's Corporation,"We not only offer the best merchandise at the best prices, but we're always working to make your shopping experience enjoyable."
"Charter Communications, Inc.","We offer a full range of traditional cable television services and are launching digital cable television services, interactive video programming, and high-speed Internet access, and are exploring opportunities in telephony. All of these services will be delivered through the far-reaching digital cable network of Charter Communications."
Bristol-Myers Squibb Company,"We pledge to our patients and customers, to our employees and partners, to our shareholders and neighbors, and to the world we serve -- to act on our belief that the priceless ingredient of every product is the honor and integrity of its maker."
"Expeditors International of Washington, Inc.","we pride ourselves on being a solutions-based organization and take time to understand each customer's individual business needs. As a non-asset based organization, we have considerable flexibility when managing customers' supply chains. Due to our relationships with local suppliers and global air and ocean partners, we can provide customers with the best routing and pricing options. Our comprehensive, flexible spectrum of services is supported by leading-edge information technology that provides a high level of visibility from end to end."
NCR Corporation,We provide our customers with the next generation of productivity gains and customer experience.
HollyFrontier Corporation,"We put health and safety first. We conduct our business with primary emphasis on the health and safety of our employees, contractors and neighboring communities. We continuously strive to raise the bar, guided by our health and safety performance standards.
"
Pioneer Natural Resources Company,"We respect the individual, community and environment. We are ethical and honest in all of our business dealings.We are diligent in protecting the safety of our people and our environment.
We are disciplined and personally accountable for our decisions, actions, attitude and results.
We have an entrepreneur's mindset, driving innovation and striving for excellence in all we do.
We openly communicate among all levels and between departments and divisions.
We believe in working as a team toward common objectives with a can-do attitude."
"Reinsurance Group of America, Incorporated",We see a day when a long-term relationship with RGA is considered integral to the business success of our clients.
SPX Corporation,"We see a future where our ideas help improve the world around us a future where our ingenuity is known for solving problems in the industries we serve. Together, we meet the needs of a growing global community in a responsible manner."
"NRG Energy, Inc.","We strive to be a regionally focused, multi-fuel, carbon-diversified scale generator with assets across the merit order, and around transmission in each of our core markets, with the capability to procure, transport and trade all of the commodities involved in our business."
The Bank of New York Mellon Corporation,We strive to be the acknowledged global leader and preferred partner in helping our clients succeed in the world's rapidly evolving financial markets.
CVS Caremark Corporation,We strive to improve the quality of human life.
"Quad/Graphics, Inc.","We strive to provide an environment that is safe, clean, healthy and oriented to children. Classrooms are arranged with learning centers appropriate to the childs developmental needs. Activity areas give children the opportunity to explore, to experience"
"GNC Holdings, Inc.","We want to be a leader in science-based natural healing and wellbeing, benefiting our customers and the world."
J.P. Morgan Chase & Co.,"We want to be the best financial services company in the world. Because of our great heritage and excellent platform, we believe this is within our reach."
The Valspar Corporation,"We want to be the paint and coatings brand the world trusts, when it matters most."
"LifePoint Hospitals, Inc.",We want to create places where -> 1. People choose to come for healthcare. 2.Physicians want to practice. 3.Employees want to work.
Wells Fargo & Company,"We want to satisfy all of our customers' financial needs, help them succeed financially, be the premier provider of financial services in every one of our markets, and be known as one of America's great companies."
Sempra Energy,"We were founded to capitalize on new opportunities in competitive energy markets. Our ongoing focus is to enhance shareholder value and meet customer needs by sustaining the financial strength, operational flexibility and skilled workforce needed to succeed in rapidly changing market conditions."
"Avis Budget Group, Inc.","We will be a leader in the vehicle rental industry by focusing on customers, our people, growth, innovation and efficiency. All of these elements will drive bottom line success and show that Avis and Budget are stronger together than they could be alone."
The ServiceMaster Company,"We will be a rapidly growing, best-in-class service provider. We will be the best place to work and to invest."
Illinois Tool Works Inc.,"We will be known as the most innovative supplier for Appliances OEMs, reaching a leadership position in this market by delivering competitive solutions to our customers with an outstanding service, becoming the most valued group to our customers, colleagues, investors, and business partners."
Marathon Petroleum Corporation,"We will be recognized as a trustworthy, high performing team by our internal business partners; be respected by our suppliers; be admired by our competitors; and be considered the employer of choice by our employees. "
Exelon Corporation,"We will be recognized as the industry leader in producing and delivering safe, reliable, economic and clean energy by our employees, customers, investors and the communities we serve."
Greif,"We will be the best packaging company in the world, working in true partnership with our customers, our suppliers, and among ourselves."
"Hertz Global Holdings, Inc.",We will be the first choice brand for vehicle and equipment rental / leasing and total mobility solutions.
Mutual of Omaha Insurance Company,We will be the kind of company our customers value and people admire.
"Tower International, Inc.","We will be the leading global metal structures supplier, consistently operating at a level of excellence that provides the highest value to our stakeholders."
"American Water Works Company, Inc.","We will create, develop and maximize administrative procurement processes to include, educate, mentor and develop diverse suppliers. We will actively seek to provide contract opportunities to diverse suppliers who meet our high standards for product ."
Monsanto Company,"We will deliver high-quality products that are beneficial to our customers and for the environment, through sound and innovative science, thoughtful and effective stewardship, and a commitment to safety and health in everything we do."
V.F. Corporation,"We will grow by building leading lifestyle brands that excite consumers around the world.Ours is a perpetually driven culture, focused on constant innovation. Using deep research and insights, we combine the art and science of apparel to create products that excite consumers and brands that inspire loyalty.We responsibly manage the industry's most efficient and complex supply chain, which spans multiple geographies, product categories and distribution channels."
Eli Lilly and Company,We will make a significant contribution to humanity by improving global health in the 21st century.
"Superior Energy Services, Inc.","We will make finding and producing energy more efficient by bringing together complementary products and services to plan, deliver and execute solutions as one seamless unit operating under one common culture. In turn, we will earn a reputation as the global leader in providing safe, efficient and high-quality solutions throughout the lifecycle of the well."
Loews Corporation,"We will provide customer-valued solutions with the best prices, products and services to make Lowe's the first choice for home improvement."
Westlake Chemical Corporation,"We work to align and focus the interests of our global customers and suppliers with those of our shareholders, employees, and communities."
State Street Corporation,We’re at the heart of financial services. And our clients are at the heart of everything we do. We develop solutions to meet their challenges. We recruit the best. We build partnerships and invest in innovation to help them seize new opportunities.
International Paper Company,"What We Want to Become International Paper will be one of the best and most respected companies in the world - as measured by our employees, our customers, our communities and our shareowners."
The Wendy's Company,"When everyday people sort through all the ‘spin’ there is one quick-service restaurant that is ‘A Cut Above’… that’s Wendy’s … we stand for honest food … higher quality, fresh, wholesome food … prepared when you order it … prepared by Wendy’s kind of people … people that believe this is My Wendy’s … we do it Dave’s Way … we don’t cut corners."
"Publix Super Markets, Inc.",Where Shopping Is a Pleasure.
The Allstate Corporation,"Who we are, what we expect from each other and the essence of our organization."
"Whole Foods Market, Inc.","Whole Foods, Whole People, Whole Planet , emphasizes that our vision reaches beyond food retailing. In fact, our deepest purpose as an organization is helping support the health, well-being, and healing of both people and  customers, Team Members, and business organizations in general  and the planet."
"MDU Resources Group, Inc.","With integrity, create superior shareholder value by expanding upon our expertise to be the supplier of choice in all of our markets while being a safe and great place to work."
Freeport-McMoRan Copper & Gold Inc.,"With our significant proven and probable reserves of copper, gold and molybdenum, we are pursuing a dynamic portfolio of expansion and growth projects, which we believe positions us well in the current economic environment of strong commodity prices and demand."
"Rent-A-Center, Inc.","Work Hard,  Operational Excellence, Urgency, Competitive/Self Motivated, Great Service,  Listen, Everyone Matters,Remove Obstacles, Respect Others, Encourage Each Other,Be Trustworthy,  Show Humility,Give Recognition, Be a Team Player, Include Each Other."
"Rockwell Collins, Inc.",Working together creating the most trusted source of communication and aviation electronic solutions.
Thermo Fisher Scientific Inc.,"World leader in serving science and our product portfolio really is the broadest of any supplier in the industry focussed on analytical instrument , equipment consumables and laboratory supplies."
Texas Instruments Incorporated,World leadership in digital solutions for the networked society.
"Roundy's, Inc.",
"Casey's General Stores, Inc.",
LSI Corporation,
"Alliance Holdings GP, L.P.",
NVIDIA Corporation,
Alcoa Inc.,
"Altria Group, Inc.",
MBIA Inc.,
CBS Corporation,
Cabela's Incorporated,
"Guess?, Inc.",
Frontier Communications Corporation,
Lincoln National Corporation,
Patriot Coal Corporation,
"Juniper Networks, Inc.",
Waters Corporation,
DENTSPLY International Inc.,
"Woodward, Inc.",
"Lithia Motors, Inc.",
Brookdale Senior Living Inc.,
Express Scripts Holding Company,
"Group 1 Automotive, Inc.",
"Aaron's, Inc.",
Apria Healthcare Group Inc.,
"The Pantry, Inc.",
"Intuitive Surgical, Inc",
Robert Half International Inc.,
"DST Systems, Inc.",
"QEP Resources, Inc.",
"Peter Kiewit Sons', Inc.",
Kimberly-Clark Corporation,
"Scripps Networks Interactive, Inc.",
Nucor Corporation,
"Jabil Circuit, Inc.",
Yahoo! Inc.,
"Franklin Resources, Inc.",
"SunCoke Energy, Inc.",
UnitedHealth Group Incorporated,
Target Corporation,
"Cracker Barrel Old Country Store, Inc.",
The Southern Company,
"United Rentals, Inc.",
"Boston Properties, Inc.",
Parker-Hannifin Corporation,
Convergys Corporation,
"Vishay Intertechnology, Inc.",
Select Medical Holdings Corporation,
"Unified Grocers, Inc.",
"Dillard's, Inc.",
Snap-on Incorporated,
The New York Times Company,
"Paychex, Inc.",
"Stanley Black & Decker, Inc.",
"Bio-Rad Laboratories, Inc.",
"C.R. Bard, Inc.",
Seaboard Corporation,
Northern Trust Corporation,
"Hyster-Yale Materials Handling, Inc.",
Rexnord Corporation,
"Michaels Stores, Inc.",
Equity Residential,
Ingram Micro Inc.,
IAC/InterActiveCorp,
BlueLinx Holdings Inc.,
"SunTrust Banks, Inc.",
"CenturyLink, Inc.",
Albemarle Corporation,
"MWI Veterinary Supply, Inc.",
HealthSouth Corporation,
"Lender Processing Services, Inc.",
"Coach, Inc.",
"Beacon Roofing Supply, Inc.",
"Alliance One International, Inc.",
"Amkor Technology, Inc.",
Tiffany & Co.,
Genesco Inc.,
"Groupon, Inc.",
YRC Worldwide Inc.,
SunGard Data Systems Inc.,
Penn Mutual Life Insurance Co.,
"First Solar, Inc.",
Vornado Realty Trust,
"Varian Medical Systems, Inc.",
Alliant Energy Corporation,
Southwest Gas Corporation,
"Flowers Foods, Inc.",
Scholastic Corporation,
Concho Resources Inc.,
Norfolk Southern Corporation,
"NBTY, Inc.",
SanDisk Corporation,
"Penn National Gaming, Inc.",
"Neiman Marcus, Inc.",
United Services Automobile Association,
NiSource Inc.,
"Insperity, Inc.",
"Urban Outfitters, Inc.",
Trimble Navigation Limited,
Intuit Inc.,
"The Hanover Insurance Group, Inc.",
"Oceaneering International, Inc.",
Saks Incorporated,
"StanCorp Financial Group, Inc.",
Commercial Metals Company,
Hanesbrands Inc.,
Hyatt Hotels Corporation,
"ScanSource, Inc.",
W.R. Berkley Corporation,
SEACOR Holdings Inc.,
"CarMax, Inc.",
"Telephone and Data Systems, Inc.",
Old Republic International Corporation,
DISH Network Corporation,
"MEDNAX, Inc.",
Global Payments Inc.,
"NVR, Inc.",
Monster Beverage Corporation,
"PC Connection, Inc.",
H.B. Fuller Company,
AOL Inc.,
"Heartland Payment Systems, Inc.",
TravelCenters of America LLC,
"The Travelers Companies, Inc.",
Cerner Corporation,
"Hub Group, Inc.",
Electronic Arts Inc.,
TMS International Corp.,
"Willbros Group, Inc.",
"PerkinElmer, Inc.",
Iasis Healthcare LLC,
Las Vegas Sands Corp.,
"HD Supply, Inc.",
Protective Life Corporation,
Regal Beloit Corporation,
Synnex Corporation,
"J.B. Hunt Transport Services, Inc.",
Mutual of America Life Insurance Company,
Oshkosh Corporation,
"General Mills, Inc.",
"Nordstrom, Inc.",
The Procter & Gamble Company,
Emerson Electric Co.,
Genuine Parts Company,
Public Storage,
ITT Corporation,
INTL FCStone Inc.,
Enterprise Products Partners L.P.,
"Mondelez International, Inc.",
Massachusetts Mutual Life Insurance Company,
Murphy Oil Corporation,
Icahn Enterprises L.P.,
Omnicom Group Inc.,
Ally Financial Inc.,
"EOG Resources, Inc.",
Liberty Interactive Corporation,
"Western Refining, Inc.",
Leucadia National Corporation,
"Spectrum Group International, Inc.",
Precision Castparts Corp.,
"Core-Mark Holding Company, Inc.",
NuStar Energy L.P.,
"NII Holdings, Inc.",
Cliffs Natural Resources Inc.,
General Cable Corporation,
Booz Allen Hamilton Holding Corp.,
Susser Holdings Corporation,
"The Andersons, Inc.",
priceline.com Incorporated,
"The Jones Financial Companies,L.L.L.P.",
Momentive Specialty Chemicals Inc.,
Alleghany Corporation,
"Ralcorp Holdings, Inc.",
Alliant Techsystems Inc.,
"Oil States International, Inc.",
Northern Tier Energy LP,
"CNO Financial Group, Inc.",
Graphic Packaging Holding Company,
Amphenol Corporation,
"VWR Funding, Inc.",
LKQ Corporation,
Tutor Perini Corporation,
"Burlington Coat Factory Investments Holdings, Inc.",
"Genesis Energy, L.P.",
The Washington Post Company,
"Delta Tucker Holdings, Inc.",
The Blackstone Group L.P.,
"Nexeo Solutions Holdings, LLC",
"Bloomin' Brands, Inc.",
Colfax Corporation,
Stater Bros. Holdings Inc.,
"Jefferies Group, Inc.",
Green Mountain Coffee Roasters,
"MasTec, Inc.",
Life Technologies Corporation,
RPM International Inc.,
"Leggett & Platt, Incorporated",
"Ingles Markets, Incorporated",
Unisys Corporation,
LPL Financial Holdings Inc.,
Alliance Data Systems Corporation,
Carlisle Companies Incorporated,
"Fortune Brands Home & Security, Inc.",
Torchmark Corporation,
Systemax Inc.,
"Patterson Companies, Inc.",
"Sally Beauty Holdings, Inc.",
"Rockwood Holdings, Inc.",
"American Eagle Outfitters, Inc.",
"Green Plains Renewable Energy, Inc.",
PHH Corporation,
"American Tire Distributors Holdings, Inc.",
"Watsco, Inc.",
"Adams Resources & Energy, Inc.",
Sirius XM Radio Inc.,
COUNTRY Financial,
"Hawaiian Electric Industries, Inc.",
Lennox International Inc.,
"Ascena Retail Group, Inc.",
Cabot Corporation,
"Schnitzer Steel Industries, Inc.",
"AMETEK, Inc.",
USG Corporation,
"HSN, Inc.",
Emergency Medical Services Corporation,
ADT Corporation,
"WPX Energy, Inc.",
"Puget Energy, Inc.",
Polaris Industries Inc.,
"Apollo Global Management, LLC",
"Helmerich & Payne, Inc.",
"Leap Wireless International, Inc.",
EchoStar Corporation,
"The NASDAQ OMX Group, Inc.",
"TECO Energy, Inc.",
CMFG Life Insurance Company,
"B/E Aerospace, Inc.",
"Thor Industries, Inc.",
Exide Technologies,
"salesforce.com, inc.",
Harsco Corporation,
Endo Health Solutions Inc.,
"T. Rowe Price Group, Inc.",
Iron Mountain Incorporated,
Markel Corporation,
"Roper Industries, Inc.",
"American Axle & Manufacturing Holdings, Inc.",
Pall Corporation,
"Fossil, Inc.",
Packaging Corporation of America,
"LVB Acquisition, Inc.",
Regal Entertainment Group,
"Brinker International, Inc.",
"Landstar System, Inc.",
Mercury General Corporation,
Warner Music Group Corp.,
Boise Cascade Company,
"Chipotle Mexican Grill, Inc.",
"SandRidge Energy, Inc.",
"Patterson-UTI Energy, Inc.",
Southwestern Energy Company,
"Tetra Tech, Inc.",
"Annaly Capital Management, Inc.",
"Legg Mason, Inc.",
West Corporation,
Medical Mutual of Ohio,
"Spartan Stores, Inc.",
Crane Co.,
"General Growth Properties, Inc.",
"Continental Resources, Inc.",
Plains Exploration & Production Company,
Boise Inc.,
"Worthington Industries, Inc.",
Sentry Insurance Group,
"HCC Insurance Holdings, Inc.",
Arthur J. Gallagher & Co.,
"Ventas, Inc.",
Amerco,
"hhgregg, Inc.",
Kemper Corporation,
"Cinemark Holdings, Inc.",
Moog Inc.,
Denbury Resources Inc.,
Universal Corporation,
Univision Communications Inc.,
Mettler-Toledo International Inc.,
"Ferrellgas Partners, L.P.",
Great Plains Energy Incorporated,
EnerSys,
Regis Corporation,
"Xilinx, Inc.",
"Brocade Communications Systems, Inc.",
"J. Crew Group, Inc.",
NewMarket Corporation,
"Ulta Salon, Cosmetics & Fragrance, Inc.",
"Valhi, Inc.",
"Coinstar, Inc.",
"Nortek, Inc.",
Olin Corporation,
Universal American Corp.,
Whiting Petroleum Corporation,
Jack in the Box Inc.,
"Allison Transmission Holdings, Inc.",
"Guitar Center Holdings, Inc.",
Teledyne Technologies Incorporated,
Kirby Corporation,
Symetra Financial Corp.,
"New York Community Bancorp, Inc.",
Arkansas Best Corporation,
Edgen Group Inc.,
"Universal Forest Products, Inc.",
"Inergy, L.P.",
Liberty Media Corporation,
Metals USA Holdings Corp.,
"KAR Auction Services, Inc.",
IDEX Corporation,
"RPC, Inc.",
Belden Inc.,
"Tower Group, Inc.",
Stewart Information Services Corporation,
"Health Care REIT, Inc.",
Lehigh Gas Partners LP,
"AmTrust Financial Services, Inc.",
"Vantiv, Inc.",
Griffon Corp.,
"Michael Foods Group, Inc",
Ciena Corporation,
"The Children's Place Retail Stores, Inc.",
